광역시도,시도,구시군,선거인수,투표수,당선 정당,2등 정당,당선자 득표수,2등 득표수,계,무효투표수,기권수
전라남도,해남군완도군진도군,진도군,27067,18107,더불어민주당,민생당,11688,5535,17626,481,8960
전라남도,해남군완도군진도군,해남군,61477,41324,더불어민주당,민생당,25440,14429,40457,867,20153
전라북도,군산시,군산시,225593,151665,더불어민주당,무소속,88857,55082,149972,1693,73928
전라북도,김제시부안군,김제시,74066,48983,더불어민주당,무소속,31224,15213,48061,922,25083
전라북도,김제시부안군,부안군,47303,30545,더불어민주당,무소속,20757,5949,29895,650,16758
전라북도,남원시임실군순창군,남원시,70326,52037,무소속,더불어민주당,27912,21190,51163,874,18289
전라북도,남원시임실군순창군,순창군,24821,18579,더불어민주당,무소속,10076,7368,18177,402,6242
전라북도,남원시임실군순창군,임실군,25325,18127,더불어민주당,무소속,9182,7838,17779,348,7198
전라북도,완주군진안군무주군장수군,무주군,21521,15675,더불어민주당,무소속,8354,6118,15374,301,5846
전라북도,완주군진안군무주군장수군,완주군,78113,54010,더불어민주당,무소속,28573,22440,53188,822,24103
전라북도,완주군진안군무주군장수군,장수군,19781,14561,더불어민주당,무소속,8483,5155,14269,292,5220
전라북도,완주군진안군무주군장수군,진안군,23024,17901,더불어민주당,무소속,11588,5023,17350,551,5123
전라북도,익산시갑,익산시,118769,75250,더불어민주당,민생당,59043,7057,74139,1111,43519
전라북도,익산시을,익산시,124676,79688,더불어민주당,민생당,56982,12302,78492,1196,44988
전라북도,전주시갑,전주시완산구,145862,93635,더불어민주당,무소속,67849,15384,92220,1415,52227
전라북도,전주시병,전주시덕진구,232210,158408,더불어민주당,민생당,104039,50022,156093,2315,73802
전라북도,전주시을,전주시완산구,165905,109358,더불어민주당,무소속,67568,21697,108038,1320,56547
전라북도,정읍시고창군,고창군,49131,32966,더불어민주당,민생당,24078,7995,32073,893,16165
전라북도,정읍시고창군,정읍시,95608,62486,더불어민주당,민생당,41004,20191,61195,1291,33122
제주특별자치도,서귀포시,서귀포시,152676,97530,더불어민주당,미래통합당,53345,41689,96143,1387,55146
제주특별자치도,제주시갑,제주시,208660,128031,더불어민주당,미래통합당,61626,46909,126540,1491,80629
제주특별자치도,제주시을,제주시,191862,122883,더불어민주당,미래통합당,67206,49862,121412,1471,68979
충청남도,공주시부여군청양군,공주시,93319,61117,더불어민주당,미래통합당,29315,28128,60292,825,32202
충청남도,공주시부여군청양군,부여군,59570,39362,미래통합당,더불어민주당,19490,17071,38744,618,20208
충청남도,공주시부여군청양군,청양군,28453,19384,미래통합당,더불어민주당,9869,8477,19123,261,9069
충청남도,논산시계룡시금산군,계룡시,33571,24097,더불어민주당,미래통합당,12384,10590,23793,304,9474
충청남도,논산시계룡시금산군,금산군,45691,28694,미래통합당,더불어민주당,14284,13004,28093,601,16997
충청남도,논산시계룡시금산군,논산시,102893,63408,더불어민주당,미래통합당,32931,28110,62440,968,39485
충청남도,당진시,당진시,137609,81858,더불어민주당,미래통합당,38535,24457,80848,1010,55751
충청남도,보령시서천군,보령시,87911,59870,미래통합당,더불어민주당,32453,26533,58986,884,28041
충청남도,보령시서천군,서천군,47346,32803,더불어민주당,미래통합당,18295,13952,32247,556,14543
충청남도,서산시태안군,서산시,145216,91889,미래통합당,더불어민주당,46471,41193,90723,1166,53327
충청남도,서산시태안군,태안군,55645,36795,미래통합당,더불어민주당,20446,14934,36259,536,18850
충청남도,아산시갑,아산시,125840,77591,미래통합당,더불어민주당,38167,37603,76596,995,48249
충청남도,아산시을,아산시,126172,76889,더불어민주당,미래통합당,45338,30584,75922,967,49283
충청남도,천안시갑,천안시동남구,168135,94976,더불어민주당,미래통합당,45999,44671,93216,1760,73159
충청남도,천안시병,천안시동남구,147013,91005,더불어민주당,미래통합당,43118,36854,89793,1212,56008
충청남도,천안시을,천안시서북구,221716,134675,더불어민주당,미래통합당,78223,46389,132946,1729,87041
충청남도,홍성군예산군,예산군,70656,44829,미래통합당,더불어민주당,24796,18789,44207,622,25827
충청남도,홍성군예산군,홍성군,84568,52895,미래통합당,더불어민주당,27201,24080,52168,727,31673
충청북도,보은군옥천군영동군괴산군,괴산군,35083,23735,미래통합당,더불어민주당,13428,9453,23325,410,11348
충청북도,보은군옥천군영동군괴산군,보은군,29585,20913,미래통합당,더불어민주당,11693,8239,20340,573,8672
충청북도,보은군옥천군영동군괴산군,영동군,43142,29587,미래통합당,더불어민주당,16393,12288,29065,522,13555
충청북도,보은군옥천군영동군괴산군,옥천군,45082,30588,미래통합당,더불어민주당,16976,12633,30095,493,14494
충청북도,제천시단양군,단양군,26696,18583,미래통합당,더불어민주당,10704,7427,18341,242,8113
충청북도,제천시단양군,제천시,115635,77243,미래통합당,더불어민주당,40470,34762,76247,996,38392
충청북도,증평군진천군음성군,음성군,82222,48328,미래통합당,더불어민주당,24393,22572,47710,618,33894
충청북도,증평군진천군음성군,증평군,31138,18927,더불어민주당,미래통합당,9663,8780,18673,254,12211
충청북도,증평군진천군음성군,진천군,67443,40900,더불어민주당,미래통합당,21891,17908,40400,500,26543
충청북도,청주시상당구,청주시상당구,151173,98093,더불어민주당,미래통합당,45707,42682,97052,1041,53080
충청북도,청주시서원구,청주시서원구,169388,109940,더불어민주당,미래통합당,54118,50784,108540,1400,59448
충청북도,청주시청원구,청주시청원구,158171,97694,더불어민주당,미래통합당,51028,42776,96290,1404,60477
충청북도,청주시흥덕구,청주시흥덕구,218211,135919,더불어민주당,미래통합당,74900,57656,134211,1708,82292
충청북도,충주시,충주시,180642,115405,미래통합당,더불어민주당,59667,51290,114186,1219,65237
